id,display_name,description_text,description_rights_author,description_rights_license,description_rights_source_name,description_rights_source_url,image_full_size_url,image_thumbnail_url,image_rights_author,image_rights_license,image_rights_source_name,image_rights_source_url
band (collar),band (collar),"Flat, stand-up collars, starched, wired, or otherwise stiffened, especially those commonly worn by men and women in the 17th century.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=band&logic=AND&note=&english=N&prev_page=1&subjectid=300217242,http://worksheet.dressdiscover.org/img/full_size/429px-Band_%28collar%29.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Band_%28collar%29.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Band_(collar).jpg
bare midriff,bare midriff,,,,,,,,,,,
basket weave,basket weave,"Weaving technique with a simple criss-cross checkerboard pattern in which two or more filling yarns, or a single heavier yarn, pass over and under two or more warp yarns.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
basque,basque,,,,,,,,,,,
batwing,batwing,"A long sleeve with a deep armhole, tapering towards the wrist. Also known as a ""magyar"" sleeve.",Wikipedia contributors,Creative Commons Attribution-ShareAlike,Wikipedia,https://en.wikipedia.org/w/index.php?title=Sleeve&oldid=826178611,http://worksheet.dressdiscover.org/img/full_size/429px-Batwing_sleeve.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Batwing_sleeve.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File%3ABatwing_sleeve.jpg
beading,beading,"Trimming, furnishing, adorning, or covering textiles or objects with beads, or creating jewelry by stringing beads.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
beige,beige,"A variable color generally light grayish-yellowish brown, originally referring to the color of unbleached wool. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/1280px-Royal_Winter_Fair_Wool.jpg,http://worksheet.dressdiscover.org/img/thumbnail/1280px-Royal_Winter_Fair_Wool.jpg,Wikimedia user Rob,Creative Commons Attribution 2.0 Generic,Wikipedia,https://commons.wikimedia.org/wiki/File:Royal_Winter_Fair_Wool.jpg
bell skirt,bell skirt,,,,,,,,,,,
bertha,bertha,"Deep, capelike collars, often of lace or silk, worn about the shoulders by women.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
bias-cut,bias-cut,,,,,,,,,,,
bishop sleeve,bishop sleeve,"A long sleeve, fuller at the bottom than the top, and gathered into a cuff",Wikipedia contributors,Creative Commons Attribution-ShareAlike,Wikipedia,https://en.wikipedia.org/w/index.php?title=Sleeve&oldid=826178611,http://worksheet.dressdiscover.org/img/full_size/Bishops_sleeve.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Bishops_sleeve.jpg,Wikimedia user Henna,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Bishops_sleeve.jpg#metadata
black,black,"UCL (Universal Color Language) standard color name identifying a range of blackish colors. More specifically, black is an achromatic color of maximum darkness, referring to objects having little or no hue owing to the absorption of almost all light in the visible spectrum. In the context of pigments, black is theoretically the mixture of all colors. In the context of colors of light, black is the absence of light. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Color_icon_black.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Color_icon_black.jpg,Wikimedia user Booyabazooka,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Color_icon_black.png
blue,blue,"Hue name for one of the three primary additive colors; that portion of the spectrum lying between green and violet, with a wavelength of about 420 to 490 nanometers, which is the shortest wavelength range of the three primary colors. The term may refer to any of this group of colors that vary in lightness and saturation. An example of blue color in nature is that of a clear sky during the day. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Color_icon_blue.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Color_icon_blue.jpg,Wikimedia user Booyabazooka,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Color_icon_blue.svg
boat neck,boat neck,,,,,,http://worksheet.dressdiscover.org/img/full_size/429px-Boat_neck.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Boat_neck.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Boat_neck.jpg
bolero,bolero,"Waist-length or shorter jackets, with or without sleeves, usually collarless, and worn open in the front; originally worn by men in Spain.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
boning,boning,,,,,,,,,,,
bow,bow,"Applied clothing accessories that may be made of rope, ribbon or fabric. These consist of knots with two loops and two ends, fixed into decorative elements attached to clothing or other objects.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
box-pleated,box-pleated,"Wide double pleats, with the material folded under at each side. For wide double pleats having the flat fold turned in rather than out, use ""inverted pleats.""",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=pleat&logic=AND&note=&english=N&prev_page=1&subjectid=300228368,http://worksheet.dressdiscover.org/img/full_size/800px-Box_pleats_1.jpg,http://worksheet.dressdiscover.org/img/thumbnail/800px-Box_pleats_1.jpg,maco *nix on Flickr,Creative Commons Attribution-Share Alike,Wikipedia,https://commons.wikimedia.org/wiki/File:Box_pleats_1.jpg
braiding,braiding,"Flat over-and-under oblique interlacing using the undifferentiated elements of a single set of strands, characterized by the oblique crossings of the elements and their common directional trend.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
brocade,brocade,"Textile produced by brocading, typically richly figured and incorporating metal thread. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=brocade&logic=AND&note=&english=N&prev_page=1&subjectid=300227779,http://worksheet.dressdiscover.org/img/full_size/431px-Dress_or_Furnishing_Fabric_Italy_or_France%2C_Textile._Silk_brocade_30_1-2_x_21_3-4%27_LACMA_M.81.69.6.jpg,http://worksheet.dressdiscover.org/img/thumbnail/431px-Dress_or_Furnishing_Fabric_Italy_or_France%2C_Textile._Silk_brocade_30_1-2_x_21_3-4%27_LACMA_M.81.69.6.jpg,LACMA,Public domain,Wikipedia,"https://commons.wikimedia.org/wiki/File:Dress_or_Furnishing_Fabric_Italy_or_France,_Textile._Silk_brocade_30_1-2_x_21_3-4%27_LACMA_M.81.69.6.jpg"
brown,brown,"Hue name for any dull reddish-yellowish or orangish color of low brightness and saturation, resembling the color of wood or earth. Brown is a low luminance color that is typically produced by adding black or their complementary colors to red, orange, or yellow paint. It is considered an earth tone and has an unlimited numbers of shades. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Color_icon_brown.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Color_icon_brown.jpg,Wikimedia user Booyabazooka,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Color_icon_brown.png
buckle,buckle,Devices used for fastening consisting of a usually open rectangular or rounded frame and a tongue or catch attached to one side or a vertical bar attached across the center. Sometimes used alone as an ornament.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Buckle.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Buckle.jpg,David Ring,Public domain,Wikipedia / Europeana Fashion Thesaurus,https://commons.wikimedia.org/wiki/File:Buckle.jpg
burgundy,burgundy,,,,,,,,,,,
burn-out,burn-out,,,,,,,,,,,
bustle,bustle,Frames of varied construction worn at or below the waist in the back to distend the garment backward at the hips.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300210580,http://worksheet.dressdiscover.org/img/full_size/429px-Bustle.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Bustle.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Bustle.jpg
bustle skirt,bustle skirt,,,,,,,,,,,
buttons,buttons,"Disks, balls, or devices of other shape having holes or a shank by which they are sewn or secured to an article and that are used as fasteners by passing through a buttonhole or loop or a trimming.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Button.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Button.jpg,Marco Bernardini,Creative Commons Attribution-Share Alike,Wikipedia,https://en.wikipedia.org/wiki/Button
camel hair,camel hair,"Fine body hair, or camel wool, used as a textile fiber.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
cap sleeve,cap sleeve,,,,,,,,,,,
cashmere,cashmere,"Yarn or fabric made from the fine, soft, light wool from the undercoat of the Kashmir goat.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Dyed_100%_Cashmere_Wool.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Dyed_100%_Cashmere_Wool.jpg,Wikipedia User Adrianrowe,Creative Commons Attribution-Share Alike 4.0 International,Wikipedia,https://commons.wikimedia.org/wiki/File:Dyed_100%25_Cashmere_Wool.jpg
Chelsea collar,Chelsea collar,,,,,,,,,,,
chemise dress,chemise dress,"Dresses which hang straight from the shoulders, sometimes tapering slightly at hips.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
chiffon,chiffon,"Sheer, lightweight plain-woven textile of fine, tightly-twisted yarn, originally of silk now also of various synthetic fibers, used, for example, for scarves, dresses, blouses, underwear, and veils. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=chiffon&logic=AND&note=&english=N&prev_page=1&subjectid=300249449,http://worksheet.dressdiscover.org/img/full_size/First_Lady_Betty_Ford_s_green_chiffon_gown_with_cape.jpg,http://worksheet.dressdiscover.org/img/thumbnail/First_Lady_Betty_Ford_s_green_chiffon_gown_with_cape.jpg,Gerald R. Ford Presidential Library and Museum,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:First_Lady_Betty_Ford%27s_green_chiffon_gown_with_cape.jpg
circle skirt,circle skirt,,,,,,,,,,,
coatdress,coatdress,Tailored dresses styled like a coat and generally worn without an outer garment.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
convertible collar,convertible collar,,,,,,,,,,,
coral,coral,Hard material consisting of calcium carbonate derived from the skeletal deposits of certain marine animals.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
corduroy,corduroy,"Weft pile weave with cut pile ribbed in the direction of the warp, usually made of cotton.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Corduroy.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Corduroy.jpg,Wikipedia user Ludek,Creative Commons Attribution-Share Alike,Wikipedia,https://commons.wikimedia.org/wiki/File:Mansestr.jpg
cotton,cotton,Textile made from cotton fiber.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Cotton____03.JPG,http://worksheet.dressdiscover.org/img/thumbnail/Cotton____03.jpg,Wikipedia user കാക്കര,Creative Commons Attribution-Share Alike 3.0 Unported,Wikipedia,https://commons.wikimedia.org/wiki/File:Cotton_-_%E0%B4%AA%E0%B4%B0%E0%B5%81%E0%B4%A4%E0%B5%8D%E0%B4%A4%E0%B4%BF_03.JPG
cowl neck,cowl neck,,,,,,,,,,,
cream,cream,"Refers to a warm off-white color of various shades, reminiscent of the color of cream, which is the whitish-yellowish fatty thick material in milk that floats to the top.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
crepe,crepe,"Lightweight textile made of various types of fiber, having a crinkled surface obtained by using hard twisted thread or yarn, by printing with caustic soda, by weaving with varied tensions, or by embossing. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=crepe&logic=AND&note=&english=N&prev_page=1&subjectid=300183741,,,,,,
crew,crew,,,,,,http://worksheet.dressdiscover.org/img/full_size/Blue_Tshirt.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Blue_Tshirt.jpg,Wikimedia user Camisetas,Creative Commons Attribution-Share Alike,Wikipedia,https://commons.wikimedia.org/wiki/File:Blue_Tshirt.jpg
crinoline (silhouette),crinoline (silhouette),,,,,,,,,,,
crochet,crochet,"Needlework created by crocheting, which employs looped stitches made with a single cord or strand of yarn and a single hooked needle.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Crochet__PSF_.png,http://worksheet.dressdiscover.org/img/thumbnail/Crochet__PSF_.jpg,Pearson Scott Foresman,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Crochet_(PSF).png
crocheting,crocheting,"Textile construction involving the interlocking of looped stitches, employing a single cord or strand of yarn and a single hooked needle.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
curved,curved,"Shapes that are bent or formed into a curve, which is a line deviating from the straight or plane form continuously, without angles.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
damask,damask,"Woven figured textile with one warp and one weft in which the pattern is formed by a contrast of binding systems, and appears on the face and the back in reverse positions.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Donsu_damask__cropped_.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Donsu_damask__cropped_.jpg,Metropolitan Museum of Art,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Fragment_of_damask_with_marriage_emblems_MET_DP152960.jpg
dirndl,dirndl,"Fulls skirts gathered or pleated on a tight waistband.  Also, similar parts of dresses.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
dobby weave,dobby weave,"Dobby weave is an allover figured fabric made on looms having a dobby attachment, with narrow strips of wood instead of Jacquard cards. Dobby weaves are limited to simple, small geometric figures, with the design repeated frequently, and are fairly inexpensive to produce.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
dolman sleeve,dolman sleeve,,,,,,,,,,,
double-weave,double-weave,,,,,,,,,,,
drawloom,drawloom,,,,,,,,,,,
drop-waist,drop-waist,,,,,,,,,,,
dropped,dropped,,,,,,,,,,,
elastic,elastic,Textile having the characteristic that it can be stretched without permanent alteration of size or shape. Examples include yardage or strips of textile material comprising threads or thin strips of rubber or other another elastic substance covered by a woven material.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
elbow length sleeve,elbow length sleeve,,,,,,,,,,,
embossing,embossing,"Producing raised letters or designs on a surface, typically by means of stamping or molding.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
embroidery,embroidery,"Refers to works characterized by a pattern or design executed in stitches using thread or fine wire. The designs are typically executed on textiles, but leather, paper, or another media may also be used; the designs may be intended to be framed, or to decorate apparel, bed linens, furniture coverings, pillows, altar cloths, ceremonial hangings, or other items.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
Empire dress,Empire dress,,,,,,,,,,,
extra long sleeve,extra long sleeve,,,,,,,,,,,
felt,felt,"Textile constructed usually of wool and fur fiber often mixed with natural or synthetic fiber by the interlocking of the loose fiber through the action of heat, moisture, chemicals, and pressure without spinning, weaving, or knitting.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Felt_cloth.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Felt_cloth.jpg,Wikipedia user Sannse,Creative Commons Attribution-Share Alike 3.0 Unported,Wikipedia,https://commons.wikimedia.org/wiki/File:Felt_cloth.jpg
fiber blend,fiber blend,,,,,,,,,,,
fit and flare,fit and flare,,,,,,,,,,,
flared,flared,,,,,,,,,,,
flocking,flocking,"Creating a textured effect similar to suede or felt by blowing fibers of cotton, silk, nylon, or other material onto a tacky surface, usually paper.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
floor length,floor length,,,,,,http://worksheet.dressdiscover.org/img/full_size/First_Lady_Betty_Ford%27s_orange_and_pink_striped_gown.jpg,http://worksheet.dressdiscover.org/img/thumbnail/First_Lady_Betty_Ford%27s_orange_and_pink_striped_gown.jpg,Gerald R. Ford Presidential Library and Museum,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:First_Lady_Betty_Ford%27s_orange_and_pink_striped_gown.jpg
flounced,flounced,,,,,,http://worksheet.dressdiscover.org/img/full_size/429px-Flounce.jpg,http://worksheet.dressdiscover.org/img/thumbnail/429px-Flounce.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Flounce.jpg
frogs,frogs,"Two-part fasteners for a coat, jacket, or other garment usually made of a looped braid or cord in an ornamental design on one edge of the garment that attaches around a knot, toggle, or similar device on the other side. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Frog closure.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Frog closure.jpg,David Ring,Public domain,Wikipedia / Europeana Fashion Thesaurus,https://commons.wikimedia.org/wiki/File:Frog_(fastening).jpg
fuchsia,fuchsia,Variable color name referring to bright pinkish colors similar to those of blooms of the fuchsia plant.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
funnel neck,funnel neck,,,,,,,,,,,
gathering,gathering,"Bunching folds of textile together by pulling on a thread stitched through it for this purpose or on one or more of its constituent filaments, to create fullness.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=gather&logic=AND&note=&english=N&prev_page=1&subjectid=300231237,http://worksheet.dressdiscover.org/img/full_size/677px-Faldilla-frunzida.jpg,http://worksheet.dressdiscover.org/img/thumbnail/677px-Faldilla-frunzida.jpg,Joan Rocaguinard,Creative Commons Attribution-Share Alike,Wikipedia,https://commons.wikimedia.org/wiki/File:Faldilla-frunzida.jpg
georgette,georgette,"A semi-transparent artificial fiber or natural silk fabric woven in plain weave with undeterred chain and weft threads, alternately two right and two left twisted.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/KLNNING_Syrenlila_sidenklnning_med_cape_och_underklnning__Tillhrt_Ebba_von_Eckermann__f___Hallwylska_museet___89129.tif,http://worksheet.dressdiscover.org/img/thumbnail/KLNNING_Syrenlila_sidenklnning_med_cape_och_underklnning__Tillhrt_Ebba_von_Eckermann__f___Hallwylska_museet___89129.jpg,Hallwyl Museum / Jens Mohr,Creative Commons Attribution-ShareAlike 3.0 Unported,Wikipedia,"https://commons.wikimedia.org/wiki/File:KL%C3%84NNING_Syrenlila_sidenkl%C3%A4nning_med_cape_och_underkl%C3%A4nning._Tillh%C3%B6rt_Ebba_von_Eckermann,_f_-_Hallwylska_museet_-_89129.tif"
glass,glass,"An amorphous, inorganic substance made by fusing silica (silicon dioxide) with a basic oxide; generally transparent but often translucent or opaque. Its characteristic properties are its hardness and rigidity at ordinary temperatures, its capacity for plastic working at elevated temperatures, and its resistance to weathering and to most chemicals except hydrofluoric acid. Used for both utilitarian and decorative purposes, it can be formed into various shapes, colored or decorated. Glass originated as a glaze in Mesopotamia in about 3500 BCE and the first objects made wholly of glass date to about 2500 BCE.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
glazing,glazing,"Overlaying or covering with a smooth and lustrous coating, or polishing and burnishing to create a smooth, shiney surface. To refer specifically to glazing paintings, use the narrower concept ""glazing (painting technique)."" To refer specifically to glazing ceramics, use the narrower concept ""pottery glazing (process).""",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,
gold,gold,"A range of yellowish colors, typically with undertones of red or brown, resembling the color of the lustrous metal, gold. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Color_icon_gold.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Color_icon_gold.jpg,Wikimedia user Booyabazooka,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Color_icon_gold.png
gored,gored,"Roughly triangular or wedge-shaped segments of objects, as found in domes, globes, umbrellas, or skirts.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=gore&logic=AND&note=&english=N&prev_page=1&subjectid=300001316,http://worksheet.dressdiscover.org/img/full_size/Four-gored-skirt.png,http://worksheet.dressdiscover.org/img/thumbnail/Four-gored-skirt.jpg,Wikimedia User: Sophus Bie,Creative Commons Attribution-Share Alike,Wikipedia,https://commons.wikimedia.org/wiki/File:Four-gored-skirt.png
gray,gray,"Hue name for any color intermediate between black and white, or composed of a mixture of black and white with little or no positive hue. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Color_icon_gray.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Color_icon_gray.jpg,Wikimedia user Booyabazooka,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Color_icon_gray.png
green,green,"Hue name for the color representing that portion of the spectrum that is intermediate between blue and yellow, with wavelengths between 520 and 570 nanometers. The term may refer to any of this group of colors that vary in lightness and saturation. An example of green color in nature is that of growing grass. It is a secondary pigment color (made by combining yellow and blue) and one of the three additive primary colors.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,http://worksheet.dressdiscover.org/img/full_size/Color_icon_green.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Color_icon_green.jpg,Wikimedia user Valtlai,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Color_icon_green.svg
halter,halter,"Garments having a strap encircling the neck and supporting the front of the bodice, leaving shoulders and most of the back bare.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=halter&logic=AND&note=&english=N&prev_page=1&subjectid=300209885,http://worksheet.dressdiscover.org/img/full_size/Haltertop.jpg,http://worksheet.dressdiscover.org/img/thumbnail/Haltertop.jpg,Wikimedia user At~A~Glance,Creative Commons Attribution,Wikipedia,https://commons.wikimedia.org/wiki/File:Haltertop.jpg
